id,itemText,optionA,optionB,optionC,optionD,correctAnswer,item
2010073,Which of the following is NOT one of the Four P's of marketing?,product,place,position,price,3,1
1074,"According to Schein's levels of organisational culture, the style and graphic design of a company's website reflects which level of organisational culture?",Espoused values,Artefacts,Basic assumptions,Corporate image,2,2
2010019,"In the context of employee selection, an elaborate assessment procedure would be most appropriate when",test validity is high and the selection ratio is high,test validity is high and the selection ratio is low,test validity is low and the selection ratio is high,test validity is low and the selection ratio is low,2,3
2010023,"A set of 100 applicants completed an intelligence test. They were all hired and job performance was subsequently measured, this is an example of what kind of validation study?",generalisation,concurrent,incremental,predictive,4,4
2010027,Models of selection decisions using terms like `false positives' and `false negatives' assume that,prediction is often perfect,prediction is relative,job performance is continuous,job performance can be classified as either successful or not successful,4,5
2010085,"In Chapter 1 of Bridger 2003 on ergonomics, what does the `M' in 'FMJ versus FJM' stand for?",mediate,motor,machine,man,4,6
2010009,Which of the following is LEAST TRUE of the Big 5?,It captures the meaningful variation in personality,it is useful for compiling meta analyses,it is useful for understanding other personality measures,It is typically measured using self-report,1,7
2010013,The study of statistical measurement properties of ability tests fits most closely into:,differential psychology,experimental psychology,psychometrics,trait psychology,3,8
2010017,An interview involving hypothetical scenarios is what kind of interview?,unstructured,behavioural,situational,individualised,3,9
2010100,A meta analysis was conducted looking at the correlation between job satisfaction and job performance. For any given study the reliability corrected correlations are what relative to uncorrected correlations?,larger,larger in absolute value,smaller,smaller in absolute value,2,10
2010104,"Which of the following was the most important contribution of Harter, Schmidt, and Hayes' (2002) meta analysis?",distinguishing employee satisfaction from employee engagement,ecological validity,estimating business-unit level relationships,having a large sample size,3,11
2010108,"According to Blanchard's model, an immature follower generally requires what combination of leadership behaviour?",high task and high relationship,high task and low relationship,low task and high relationship,low task and low relationship,2,12
2010112,"Imagine that a study was conducted in the lab that showed that when strangers were put into a group, tall participants tend to take on leadership roles. This finding is most relevant to what?",leadership emergence,leadership effectiveness,need for leadership,contingency approaches,1,13
1608,"An internet savings account provider is trying to determine the optimal product mix. The core variables it will manipulate are: interest rate (market rate, above market rate, well above market rate); security features (standard features or additional features); availability of hard copy monthly statements (yes or no); and amount paid to people to join (\$0, \$5, \$20, \$50). What would be the best research approach to assess the optimal combination of features?",Depth Interview,Survey,Focus group,Choice modelling,4,14
2010076,A survey was designed such that each member of the target population had a one in ten chance of being asked to participate. This represents what?,probability census,probability sample,non-probability census,non-probability sample,2,15
2010089,Which motivation theory is closely linked to dissonance theory,Maslows Hierarchy,Reinforcement Theory,Goal Theory,Equity Theory,4,16
2010093,Action theory is particularly concerned with what?,needs,equity,intentions,satisfaction,3,17
2010097,Which of the following researchers is most associated with the concept of self-efficacy?,Festinger,Bandura,Skinner,Vroom,2,18
2010059,According to Ivancevich what is the relationship between conflict and performance?,positive and linear,negative and linear,u-shaped,inverted u-shaped,4,19
2009115,Which of the following is LEAST representative of the systems perspective of organisations?,Organisations transform inputs to outputs,Organisations have different meaning for different stakeholders,Organisations influence the environment,Organisations operate at multiple levels of analysis,2,20
2009119,"If you were trying to represent the organisational chart, which lens would be most relevant?",Cultural,Critical,Social,Strategic design,4,21
2010116,"When employees are self-motivated and competent, which of McGregor's theories would seem most relevant",W,X,Y,Z,3,22
2010120,What was at the top of Mintzber's Organisational Parts as presented in Landy and Conte?,ideology,strategic apex,technostructure,senior management,1,23
1049,Which of the following statements is LEAST TRUE regarding the difference between task and contextual performance?,When someone changes job their task performance is likely to change less than their contextual performance,Intelligence is more important for predicting task performance,Personality is more important for predicting contextual performance,Task performance is generally more explicitly set out as part of the job description than contextual performance,1,24
1060,Which of the following IS NOT part of Rodgers and Hunter's summary of the component processes of the Management by Objectives approach?,Participation,Training,Goal setting,Objective feedback,2,25
2010033,Which of the following approaches provides the best understanding of a specific job?,Campbell's 8 Factors of Performance,job analysis,Borman's Three Category Taxonomy,Borman and Brush' 18 Factors,2,26
2010037,Cleveland et al (1989) surveyed HR professionals about purposes of performance evaluation. They grouped the set of purposes into four categories based on?,level of endorsement,correlations between purposes,content analysis,thematic analysis,2,27
2010041,Rodgers and Hunter (1991) review of management by objectives studies suggested that a critical factor for the success of such a program was what?,subordinate involvement,quantifying the gain,implementing best-practice,support by senior management,4,28
2010002,Using Cohen's rules of thumb a correlation of 0.32 is?,small,medium,large,very large,2,29
2010006,"In psychology, Generalisability Theory pertains to:",reliability,validity,generalising research to applied settings,generalising findings across studies,1,30
1042,"Simon and Chase have suggested that in order to achieve eminent performance in many fields of expertise, such as chess you need a minimum of how many years of focused practice?",8,9,10,12,3,31
2010081,A learning curve model predicted task completion times similar to the times that were empirically observed. The previous sentence describes what desirable property of a learning function?,parsimony,statistical fit,theoretically meaningful parameters,Power Law of Practice,2,32
2010066,"What form of shift work does Landy and Conte (citing Parkes, 1999) suggest is the most stressful?",fixed night shift,fixed evening shift,rotating day to night to evening,rotating evening to night to day,3,33
2010070,"In the context of stress management, for what does the `A' in EAP stand?",Adaptation,Activity,Awareness,Assistance,4,34
2010045,Five people pull a rope and performance is total pulling strength. This is an example of what kind of task?,combinatorial,disjunctive,conjunctive,additive,4,35
2010049,Gersick's Punctuated Equilibrium model is based on empirical research published in 1988 using,a small number of project teams,a large number of project teams,a small number of production teams,a large number of production teams,1,36
2010053,"Until future research was done, what was a major alternative interpretation of Ringelmann's rope pulling studies?",coordination difficulties,small sample size,additive nature of rope pulling,low motivation in group tasks,1,37
2010057,"In organisational psychology, the Input--Process--Output model of teams is",influential and rarely criticised,influential and criticised,rarely discussed and rarely criticised,rarely discussed and criticised,2,38
1047,The theory of transfer that states that the degree of transfer depends on the number of similarities between the learning environment and the performance environment is called:,Theory of Paired Components,Theory of Transfer Similarity,Theory of Identical Components,Theory of Identical Elements,4,39
2010084,Social Learning Theory is what kind of theory,behavioural theory,cognitive theory,psychometric theory,critical theory,2,40
